precos,Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Possui Kit GNV,Tipo de direção
119.900,"Carros, Vans E Utilitários",Toyota Cd D4-d 4x4 3.0 Tdi Dies. Mec.,Toyota,,2013,180000,3.0 - 3.9,Diesel,Manual,Hidráulica,Prata,4 Portas,8,Não,Hidráulica
118.990,"Carros, Vans E Utilitários",Honda Ex 1.8 Flexone 16v 5p Aut.,Honda,Suv,2021,69000,1.8,Flex,Automático,Elétrica,Branco,4 Portas,,Não,Elétrica
75.000,"Carros, Vans E Utilitários",Ford Xl 2.8 8v 135cv 4x2 Ce Tb Diesel,Ford,Pick-up,2002,250000,2.0 - 2.9,Diesel,Manual,Hidráulica,Prata,4 Portas,5,Não,Hidráulica
156.990,"Carros, Vans E Utilitários",Volkswagen Highline 1.4 250 Tsi Flex Aut,Volkswagen,Suv,2022,45530,1.4,Flex,Automático,Elétrica,Branco,4 Portas,1,Não,Elétrica
117.990,"Carros, Vans E Utilitários",Hyundai Gls 1.6 Turbo 16v Aut.,Hyundai,Suv,2021,53509,1.6,Gasolina,Automático,Elétrica,Cinza,4 Portas,7,Não,Elétrica
73.990,"Carros, Vans E Utilitários",Hyundai Attitude 1.6 16v Flex Aut.(pcd),Hyundai,Suv,2019,200000,1.6,Flex,Automático,Elétrica,Branco,4 Portas,,Não,Elétrica
74.999,"Carros, Vans E Utilitários",Chevrolet Plus Ltz 1.0 12v Tb Flex Mec. 4p,Chevrolet,Sedã,2021,21000,1.0,Flex,Manual,Elétrica,Branco,4 Portas,2,Não,Elétrica
145.900,"Carros, Vans E Utilitários",Toyota Sw4 Srv D4-d 4x4 3.0 Tdi Dies. Aut,Toyota,Suv,2015,230000,3.0 - 3.9,Diesel,Automático,Hidráulica,Preto,4 Portas,8,Não,Hidráulica
99.900,"Carros, Vans E Utilitários",Jeep Long. T270 1.3 Tb 4x2 Flex Aut.,Jeep,Suv,2024,9300,1.3,Flex,Automático,Elétrica,Cinza,4 Portas,8,Não,Elétrica
225.000,"Carros, Vans E Utilitários",Chevrolet Pick-up Ltz 2.8 Tdi 4x4 Cd Dies.aut,Chevrolet,Pick-up,2024,17500,2.0 - 2.9,Diesel,Automático,Elétrica,Prata,4 Portas,,Não,Elétrica
120.000,"Carros, Vans E Utilitários",Volkswagen Highline 1.4 Tsi Flex 16v 5p Aut,Volkswagen,Suv,2022,53000,1.4,Flex,Automático,Elétrica,Branco,4 Portas,3,Não,Elétrica
78.900,"Carros, Vans E Utilitários",Hyundai Gls 2.0 16v 2wd Flex Aut.,Hyundai,Suv,2015,100000,2.0 - 2.9,Flex,Automático,Elétrica,Branco,4 Portas,,Não,Elétrica
25.000,"Carros, Vans E Utilitários",Ford 1.0 Se/se Plus Tivct Flex 5p,Ford,Hatch,2015,1500,1.0,Flex,Manual,Elétrica,Branco,4 Portas,,Não,Elétrica
37.500,"Carros, Vans E Utilitários",Hyundai C.plus/c.style1.0 Flex 12v Mec. 4p,Hyundai,Sedã,2014,182000,1.0,,Manual,Hidráulica,Outra,4 Portas,,Não,Hidráulica
190.000,"Carros, Vans E Utilitários",Fiat Endurance 2.2 16v 4x4 Tb Die. Mec,Fiat,Pick-up,2024,0,2.0 - 2.9,Diesel,Manual,Hidráulica,Preto,4 Portas,,Não,Hidráulica
38.900,"Carros, Vans E Utilitários",Renault Zen 1.0 Flex 12v 5p Mec.,Renault,Hatch,2019,16000,1.0,Flex,Manual,Elétrica,Branco,4 Portas,,Não,Elétrica
88.000,"Carros, Vans E Utilitários",Hyundai Sport 1.0 Tb Flex 12v Aut,Hyundai,Hatch,2022,29500,1.0,Flex,Automático,Elétrica,Cinza,4 Portas,,Não,Elétrica
